B,H,D,S,ours_ms,sdpa_ms,cos,kv_int8_mb,kv_fp16_mb,ours_gbps,speedup_vs_sdpa
8,8,64,1024,0.056074240282177924,0.053288959190249445,0.999944806098938,8.388608,16.777216,149.59824614273288,0.9503286878625135
8,8,64,2048,0.061337600350379946,0.06273023895919323,0.999946117401123,16.777216,33.554432,273.5225360001563,1.0227044847020113
8,8,64,4096,0.1137459211051464,0.091095040589571,0.999946117401123,33.554432,67.108864,294.99459562143227,0.8008642393898504
32,8,64,1024,0.10883071959018707,0.11696128204464912,0.9999458193778992,33.554432,67.108864,308.3176526476399,1.0747083404858342
32,8,64,2048,0.1338367974758148,0.20185087621212006,0.9999467134475708,67.108864,134.217728,501.4231158073474,1.5081866872120564
32,8,64,4096,0.23781376242637634,0.3722444826364517,0.999944269657135,134.217728,268.435456,564.3816683719128,1.5652772944614304
64,16,64,1024,0.23449600070714952,0.3106201583147049,0.9999457597732544,134.217728,268.435456,572.3668105010366,1.324628809779247
64,16,64,2048,0.4244275188446045,0.49764352083206176,0.9999450445175171,268.435456,536.870912,632.4647768616582,1.1725053130079055
64,16,64,4096,0.7053107190132141,0.8914739084243775,0.9999436736106873,536.870912,1073.741824,761.1835429796461,1.2639449314929179
128,16,64,1024,0.3779583978652954,0.4702207982540131,0.9999448657035828,268.435456,536.870912,710.2248753199302,1.2441072904050146
128,16,64,2048,0.704327677488327,0.8714854419231415,0.9999452829360962,536.870912,1073.741824,762.2459391550713,1.237329541032533
128,16,64,4096,1.3620019197463988,1.7114111971855164,0.9999445676803589,1073.741824,2147.483648,788.3555877806162,1.2565409581097922
64,16,128,1024,0.355000319480896,0.43653120160102843,0.999936044216156,268.435456,536.870912,756.1555335852187,1.2296642499909636
64,16,128,2048,0.6675660836696625,0.823930881023407,0.9999358057975769,536.870912,1073.741824,804.2213724351888,1.2342311887599127
64,16,128,4096,1.2995379114151,1.6011673760414125,0.9999351501464844,1073.741824,2147.483648,826.2489416955718,1.2321051675190149
