B,H,D,S,ours_ms,fi_fp8_ms,fi_fp16_ms,ours_cos,fi_fp8_cos,spd_vs_fp8,spd_vs_fp16
32,8,64,2048,0.1350860768556595,0.17354752242565155,0.1597235181927681,0.9999467134475708,0.999220609664917,1.2847180587758753,1.1823832767268376
32,8,64,4096,0.24211455911397933,0.2776268815994263,0.2692095988988876,0.999944269657135,0.9992299675941467,1.1466757001950012,1.1119099978293865
32,8,64,8192,0.4497612810134888,0.4872191995382309,0.4887756788730621,0.9999452829360962,0.9992368221282959,1.0832839999929178,1.0867446788030721
32,8,64,16384,0.8371404874324798,0.7874150371551514,0.8967782378196716,0.9999455809593201,0.9992046356201172,0.9406008298202886,1.071239835227778
32,8,64,32768,1.4800076746940614,1.559633913040161,,,,1.0538012334041171,
64,16,64,2048,0.4053401613235474,0.39038976073265075,0.4301209610700607,0.9999450445175171,0.9992291927337646,0.9631164093336336,1.0611358116244816
64,16,64,4096,0.7052902436256409,0.7212441599369049,0.8025088012218475,0.9999436736106873,0.9992106556892395,1.0226203558824958,1.1378419146937881
64,16,64,8192,1.4766489696502685,1.598238718509674,,,,1.0823416745336591,
64,16,64,16384,2.9098188638687135,2.9605068874359133,,,,1.017419649104827,
64,16,64,32768,5.7730661964416505,5.9457536315917965,,,,1.029912602640272,
128,16,64,2048,0.7629209625720977,0.930344957113266,0.9210060811042786,0.9999452829360962,0.9992197751998901,1.219451296732912,1.2072103484995558
128,16,64,4096,1.475256335735321,1.6586751985549926,,,,1.1243301644444381,
128,16,64,8192,2.906787815093994,3.209953284263611,,,,1.104295699739547,
128,16,64,16384,5.772062721252442,6.3140249347686765,,,,1.0938940270903081,
64,16,128,2048,0.7328153538703919,0.5450137567520141,0.7864729654788971,0.9999358057975769,0.9992538690567017,0.7437258974904162,1.0732211891100678
64,16,128,4096,1.5251456141471862,0.8980684769153595,,,,0.5888411366002789,
64,16,128,8192,2.630062108039856,1.6963379240036012,,,,0.6449801770148521,
64,16,128,16384,5.626798114776611,3.2853811264038084,,,,0.5838811095383046,
64,16,128,32768,10.802278385162353,6.5157324409484865,,,,0.6031813112591393,
