mode,batch,heads,seq_len,head_dim,dram_read_MB,dram_write_MB,dram_total_MB,time_us
baseline,2,8,512,64,28.397,0.000,28.397,98.688
baseline,2,8,1024,64,107.046,47.311,154.357,273.888
baseline,2,8,2048,64,415.600,351.491,767.091,978.912
baseline,2,8,4096,64,1638.137,1565.426,3203.563,3793.152
flash,2,8,512,64,3.246,0.000,3.246,56.640
flash,2,8,1024,64,6.391,0.000,6.391,107.136
flash,2,8,2048,64,12.683,0.059,12.743,224.512
flash,2,8,4096,64,25.289,3.053,28.342,600.992
kernel,2,8,512,64,3.214,0.000,3.214,106.560
kernel,2,8,1024,64,6.359,0.012,6.371,261.824
kernel,2,8,2048,64,12.664,1.227,13.891,929.920
kernel,2,8,4096,64,25.242,9.272,34.515,3255.104
