batch,seq_len,d_model,kernel_ms,naive_ms,ref2_ms,naive_label,ref2_label,kernel_tops,naive_tops,ref2_tops,kernel_util_pct,naive_util_pct,kernel_bw_util_pct,naive_bw_util_pct,speedup_vs_naive,speedup_vs_ref2
8,512,512,0.518711040019989,0.2999187207221985,0.18309503972530364,FP16 WMMA baseline,cuBLAS INT8,33.12030756726897,57.281750010906975,93.83033647320458,5.307741597318746,9.17976762995304,1.2129018884497915,7.691641236816123,0.5781999949541095,0.35298080356694916
8,1024,512,0.9280473589897156,0.5650323224067688,0.34004735946655273,FP16 WMMA baseline,cuBLAS INT8,37.02369069333321,60.81021740781812,101.04397935011652,5.933283764957245,9.745227148688802,1.1298733732096318,7.794278354273564,0.6088399659063416,0.36641164502287116
8,2048,512,1.7027641558647155,1.0492883253097534,0.6264921605587006,FP16 WMMA baseline,cuBLAS INT8,40.357601197625726,65.4915098914436,109.68928433951436,6.467564294491303,10.495434277474935,1.108454622737523,8.194433305508996,0.6162264584298186,0.3679265612920709
8,4096,512,3.28598464012146,2.0287417697906496,1.2302937626838684,FP16 WMMA baseline,cuBLAS INT8,41.82580520733045,67.74590808872763,111.71230615050739,6.702853398610649,10.856716039860197,1.084958936347378,8.373136223124602,0.6173923471887139,0.3744064252955221
8,512,1024,1.6835967922210693,1.0386124777793884,0.6462182414531707,FP16 WMMA baseline,cuBLAS INT8,40.81706323836747,66.16469396066383,106.34097326232761,6.541196031789657,10.603316339849972,0.9965103329679558,4.846046920947058,0.6169009602407288,0.383831950998584
8,1024,1024,3.1578419256210326,1.936649603843689,1.2070470476150512,FP16 WMMA baseline,cuBLAS INT8,43.523063126401034,70.9673826381517,113.8637915925144,6.974849860000165,11.372977986883285,0.7969310875195501,4.76465581677044,0.6132826308152902,0.3822379574549695
8,2048,1024,6.177857904434204,3.7552966260910035,2.391230721473694,FP16 WMMA baseline,cuBLAS INT8,44.494048130615674,73.19738873201298,114.952482199039,7.130456431188409,11.730350758335414,0.678925294961787,4.6909947612679215,0.6078638719410511,0.38706470081763616
8,4096,1024,12.21214277267456,7.430236158370971,4.757219839096069,FP16 WMMA baseline,cuBLAS INT8,45.017145976880755,73.98900952409703,115.5624151253141,7.21428621424371,11.85721306475914,0.6182164211912946,4.628829026013151,0.6084301745142214,0.3895483313330277
8,512,2048,6.068287372589111,4.189015007019043,2.367891845703125,FP16 WMMA baseline,cuBLAS INT8,45.2974439189619,65.61874485611038,116.085499193219,7.259205756243895,10.515824496171536,0.8294209701958356,2.8035352416551067,0.6903125626418293,0.39020759900051244
8,1024,2048,11.971963481903076,8.107996826171876,4.7134476661682125,FP16 WMMA baseline,cuBLAS INT8,45.92027153432397,67.80414764266288,116.63560366523022,7.35901787409038,10.866049301708795,0.5605501896279782,2.483062047460799,0.6772487101575271,0.3937071536588882
8,2048,2048,23.757932205200195,16.099732551574707,9.397767639160156,FP16 WMMA baseline,cuBLAS INT8,46.279769564092625,68.29378216400602,116.99710718472916,7.416629737835356,10.944516372436862,0.4237039449837582,2.292576915905964,0.6776571467802555,0.395563366289224
8,4096,2048,47.318715744018554,31.9381311416626,18.759970359802246,FP16 WMMA baseline,cuBLAS INT8,46.472589565788745,68.85259647153937,117.21890884560973,7.447530379132812,11.034069947362077,0.35455772068625446,2.206275216525767,0.6749576914648159,0.3964598376103149
